                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.8812,                 1.2179,                  1.514,                0.74569,                0.66152,                0.71127,                0.31491,                 2.0579,                 1.2968,                 1.7296,               0.007294,               0.007294,               0.007294
                     85,                 1.9054,                  1.234,                 1.5349,                0.78989,                0.68883,                0.74302,                0.33402,                 2.0291,                 1.2486,                 1.7026,               0.007261,               0.007261,               0.007261
                     86,                 1.8995,                 1.2267,                 1.5212,                0.84491,                0.64258,                0.74336,                0.32941,                 1.9973,                 1.1989,                 1.6934,               0.007228,               0.007228,               0.007228
                     87,                 1.8626,                 1.1954,                   1.52,                0.79982,                0.68393,                0.75498,                0.34245,                  2.006,                 1.2388,                 1.6821,               0.007195,               0.007195,               0.007195
                     88,                 1.8815,                 1.2046,                 1.5256,                0.82936,                0.71311,                0.76913,                0.33753,                 2.0397,                  1.196,                 1.6782,               0.007162,               0.007162,               0.007162
                     89,                 1.8652,                  1.199,                 1.5066,                 0.8239,                 0.6799,                0.74827,                0.33801,                 2.0882,                  1.301,                 1.7573,               0.007129,               0.007129,               0.007129
                     90,                 1.8797,                 1.2027,                 1.5055,                0.84924,                0.70357,                0.77213,                0.35481,                 2.0563,                 1.1915,                 1.7027,               0.007096,               0.007096,               0.007096
                     91,                 1.8542,                 1.1993,                 1.4916,                0.79604,                0.71197,                0.78074,                0.35454,                 2.0602,                 1.2112,                 1.7088,               0.007063,               0.007063,               0.007063
                     92,                 1.8477,                 1.1791,                 1.4864,                0.82585,                0.72282,                0.77115,                0.36446,                 1.9903,                 1.1773,                 1.6654,                0.00703,                0.00703,                0.00703
                     93,                 1.8355,                 1.1666,                 1.4773,                0.85302,                0.68379,                0.75312,                0.35449,                 2.0067,                 1.1631,                 1.7069,               0.006997,               0.006997,               0.006997
                     94,                 1.8428,                 1.1773,                 1.4937,                0.78702,                0.68418,                0.73948,                0.33574,                 2.0384,                 1.1603,                   1.71,               0.006964,               0.006964,               0.006964
                     95,                 1.8529,                  1.166,                  1.491,                0.83365,                 0.7157,                0.77114,                0.35696,                 1.9544,                 1.1227,                 1.6582,               0.006931,               0.006931,               0.006931
                     96,                 1.8663,                 1.1916,                 1.5084,                0.78277,                 0.7065,                0.75862,                0.36691,                 1.9762,                 1.1818,                  1.652,               0.006898,               0.006898,               0.006898
                     97,                 1.8348,                 1.1775,                 1.4723,                0.86019,                0.73153,                0.78919,                0.37641,                  1.902,                 1.1211,                 1.6132,               0.006865,               0.006865,               0.006865
                     98,                 1.8165,                 1.1448,                 1.4708,                0.81506,                0.67163,                0.73271,                0.33426,                 2.0509,                  1.237,                 1.6938,               0.006832,               0.006832,               0.006832
                     99,                 1.8373,                 1.1623,                 1.4983,                0.86004,                0.70235,                0.78068,                0.36813,                 1.9789,                 1.1544,                 1.6584,               0.006799,               0.006799,               0.006799
                    100,                 1.8262,                 1.1751,                 1.4726,                0.84293,                0.71138,                0.75307,                0.34327,                 2.0016,                 1.1805,                 1.6731,               0.006766,               0.006766,               0.006766
                    101,                 1.8316,                 1.1493,                 1.4925,                0.85814,                0.73309,                0.79893,                0.36105,                 1.9439,                 1.1445,                 1.6559,               0.006733,               0.006733,               0.006733
                    102,                 1.8455,                 1.1633,                 1.4835,                 0.8291,                0.72502,                0.77566,                 0.3681,                 1.8864,                 1.1303,                 1.6259,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.8198,                 1.1361,                 1.4711,                0.83599,                0.71464,                0.77851,                0.35639,                 1.9878,                 1.1369,                 1.6919,               0.006667,               0.006667,               0.006667
                    104,                 1.8193,                 1.1267,                 1.4625,                0.75578,                0.69138,                 0.7345,                0.34889,                 2.0105,                 1.2169,                 1.6858,               0.006634,               0.006634,               0.006634
                    105,                 1.7913,                 1.1308,                 1.4504,                0.82042,                0.75017,                0.78483,                0.37295,                 1.9968,                 1.1455,                 1.6837,               0.006601,               0.006601,               0.006601
                    106,                 1.7951,                   1.14,                 1.4571,                0.83167,                0.71293,                0.78991,                0.38094,                 1.9014,                 1.1303,                 1.6324,               0.006568,               0.006568,               0.006568
                    107,                 1.7788,                 1.1075,                 1.4481,                0.82334,                0.68082,                0.72491,                0.32186,                 2.0526,                 1.2862,                 1.7349,               0.006535,               0.006535,               0.006535
                    108,                 1.7993,                 1.1241,                 1.4391,                0.83029,                0.72374,                0.77492,                 0.3602,                 1.9739,                 1.0961,                 1.6693,               0.006502,               0.006502,               0.006502
                    109,                 1.7857,                 1.0983,                 1.4548,                0.87669,                0.72567,                0.78672,                0.35105,                 2.0474,                 1.1303,                  1.719,               0.006469,               0.006469,               0.006469
                    110,                 1.8143,                 1.1228,                 1.4626,                0.78012,                0.73301,                0.77985,                0.35852,                 2.0514,                 1.1518,                 1.6979,               0.006436,               0.006436,               0.006436
