                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                  1.986,                 1.1629,                 1.6832,                0.89867,                0.75192,                0.82699,                  0.414,                 1.8527,                0.98944,                 1.5882,               0.006964,               0.006964,               0.006964
                     95,                 1.9931,                 1.1819,                 1.6852,                0.87932,                0.77249,                0.82905,                0.40972,                 1.9144,                0.97832,                 1.6146,               0.006931,               0.006931,               0.006931
                     96,                 1.9954,                 1.1729,                 1.7057,                0.88676,                0.78683,                0.83834,                0.41793,                 1.8654,                0.96271,                  1.583,               0.006898,               0.006898,               0.006898
                     97,                 1.9659,                 1.1529,                  1.656,                0.88061,                0.77963,                0.83578,                0.41338,                 1.8515,                0.94625,                 1.5619,               0.006865,               0.006865,               0.006865
                     98,                  1.965,                  1.154,                 1.6606,                0.86363,                0.77243,                0.82178,                0.40928,                 1.8916,                0.99221,                 1.6213,               0.006832,               0.006832,               0.006832
                     99,                 1.9878,                 1.1485,                  1.685,                0.87559,                0.80062,                0.84672,                 0.4392,                 1.8107,                0.94014,                 1.5595,               0.006799,               0.006799,               0.006799
                    100,                 1.9446,                 1.1481,                 1.6411,                0.90799,                0.76252,                 0.8344,                 0.4058,                 1.9173,                 1.1258,                 1.6277,               0.006766,               0.006766,               0.006766
                    101,                 1.9662,                 1.1299,                 1.6752,                0.88494,                0.78834,                0.83858,                0.41497,                 1.8724,                0.97526,                 1.5801,               0.006733,               0.006733,               0.006733
                    102,                  1.972,                 1.1237,                 1.6469,                0.90888,                0.76291,                0.82951,                0.39431,                  1.917,                0.98783,                 1.6402,                 0.0067,                 0.0067,                 0.0067
                    103,                   1.96,                 1.1145,                  1.667,                0.92619,                0.78151,                0.84028,                0.41129,                 1.8008,                0.95355,                 1.5612,               0.006667,               0.006667,               0.006667
                    104,                 1.9182,                 1.1043,                 1.6325,                0.90102,                0.78027,                0.83848,                0.41746,                 1.7995,                0.94603,                 1.5545,               0.006634,               0.006634,               0.006634
                    105,                 1.9285,                 1.1137,                 1.6335,                0.85566,                0.74231,                 0.8152,                0.38791,                 1.9638,                0.99699,                 1.6499,               0.006601,               0.006601,               0.006601
                    106,                 1.9455,                 1.1174,                 1.6458,                0.89665,                0.78862,                0.84339,                0.42471,                 1.8617,                0.96779,                 1.5974,               0.006568,               0.006568,               0.006568
                    107,                 1.9083,                 1.0894,                 1.6283,                0.86686,                0.77741,                0.82896,                0.39638,                 1.9345,                 1.0245,                 1.6253,               0.006535,               0.006535,               0.006535
                    108,                 1.9533,                  1.112,                 1.6295,                0.86764,                0.80283,                0.82929,                0.42046,                  1.804,                0.93623,                 1.5295,               0.006502,               0.006502,               0.006502
                    109,                 1.9212,                 1.0922,                 1.6457,                0.90589,                0.78328,                 0.8459,                 0.4212,                 1.8879,                0.92463,                 1.5955,               0.006469,               0.006469,               0.006469
                    110,                 1.9121,                 1.1091,                 1.6324,                0.88059,                0.77294,                0.82529,                0.41457,                  1.895,                0.97841,                 1.5942,               0.006436,               0.006436,               0.006436
                    111,                 1.9003,                 1.0692,                 1.6187,                0.88379,                0.80168,                0.84196,                0.42303,                 1.9364,                0.92649,                  1.642,               0.006403,               0.006403,               0.006403
                    112,                 1.9201,                  1.082,                 1.6362,                0.89562,                0.80365,                0.84867,                0.43092,                 1.8339,                0.94156,                 1.5392,                0.00637,                0.00637,                0.00637
                    113,                 1.8734,                 1.0777,                 1.6357,                0.88129,                0.79609,                0.84043,                0.41199,                 1.9104,                0.94732,                 1.6043,               0.006337,               0.006337,               0.006337
                    114,                 1.8914,                 1.0506,                 1.6211,                0.88954,                0.79936,                0.84398,                0.41785,                 1.8412,                0.91808,                 1.5755,               0.006304,               0.006304,               0.006304
                    115,                 1.8689,                 1.0506,                 1.6034,                0.88653,                 0.7791,                0.84667,                0.43043,                 1.8321,                0.90461,                 1.5672,               0.006271,               0.006271,               0.006271
                    116,                 1.8558,                 1.0564,                  1.595,                0.89702,                 0.8054,                 0.8458,                0.42191,                 1.8909,                0.94268,                 1.6189,               0.006238,               0.006238,               0.006238
                    117,                 1.8692,                 1.0497,                 1.6086,                0.89785,                0.76671,                0.83202,                0.42303,                 1.8889,                0.95636,                 1.5895,               0.006205,               0.006205,               0.006205
                    118,                 1.8735,                 1.0696,                 1.6295,                0.88624,                0.77064,                0.81464,                0.41753,                 1.9122,                0.96874,                   1.61,               0.006172,               0.006172,               0.006172
                    119,                  1.865,                 1.0566,                 1.6038,                0.89237,                0.79987,                0.85651,                0.41771,                 1.8644,                0.90477,                 1.5796,               0.006139,               0.006139,               0.006139
                    120,                 1.8472,                 1.0616,                 1.6127,                0.87895,                0.80429,                0.83515,                0.40876,                 1.8578,                0.90681,                 1.6011,               0.006106,               0.006106,               0.006106
                    121,                  1.867,                 1.0514,                 1.5786,                0.87778,                0.80987,                0.84445,                0.42518,                 1.8834,                 0.9663,                 1.6098,               0.006073,               0.006073,               0.006073
                    122,                 1.8411,                 1.0427,                 1.5923,                0.87146,                  0.776,                0.82783,                0.41744,                 1.8669,                0.98859,                 1.6049,                0.00604,                0.00604,                0.00604
                    123,                 1.8408,                 1.0288,                 1.5972,                0.88778,                 0.7899,                0.84938,                 0.4229,                 1.8704,                0.94028,                 1.5842,               0.006007,               0.006007,               0.006007
                    124,                 1.8364,                  1.035,                 1.5991,                0.89026,                0.79575,                0.84908,                0.43295,                 1.8915,                0.90699,                 1.5897,               0.005974,               0.005974,               0.005974
                    125,                 1.8258,                  1.015,                  1.563,                0.87819,                0.79959,                0.83684,                0.42005,                 1.8957,                0.94465,                 1.6104,               0.005941,               0.005941,               0.005941
                    126,                 1.8351,                 1.0114,                 1.5899,                0.87086,                0.81924,                0.85305,                0.42461,                 1.8342,                0.90532,                 1.5709,               0.005908,               0.005908,               0.005908
                    127,                 1.8549,                 1.0204,                 1.6087,                0.92205,                0.79557,                0.85204,                0.42287,                 1.9168,                0.91328,                 1.6234,               0.005875,               0.005875,               0.005875
                    128,                 1.8361,                 1.0207,                 1.5826,                0.88958,                0.76455,                0.83243,                0.41491,                 1.8913,                0.96815,                 1.6006,               0.005842,               0.005842,               0.005842
                    129,                 1.8221,                 1.0074,                 1.5699,                0.89321,                 0.7605,                0.83246,                 0.4229,                 1.8474,                0.96882,                 1.5611,               0.005809,               0.005809,               0.005809
                    130,                 1.8227,                 1.0179,                 1.5612,                0.90957,                0.78964,                0.84449,                0.43125,                 1.8781,                0.90508,                 1.6131,               0.005776,               0.005776,               0.005776
                    131,                 1.8231,                 1.0197,                 1.6072,                0.91533,                0.79433,                0.85245,                0.43556,                  1.868,                0.91513,                 1.5972,               0.005743,               0.005743,               0.005743
                    132,                 1.8155,                 1.0109,                 1.5864,                0.86955,                0.79511,                 0.8442,                0.42644,                 1.8434,                 0.9236,                 1.5736,                0.00571,                0.00571,                0.00571
                    133,                 1.8107,                0.99364,                 1.5615,                0.91029,                 0.7972,                0.85111,                0.42875,                 1.9426,                0.92818,                 1.6512,               0.005677,               0.005677,               0.005677
                    134,                 1.7887,                0.99579,                 1.5611,                0.87886,                0.81215,                 0.8543,                0.42227,                 1.9005,                0.90185,                 1.6282,               0.005644,               0.005644,               0.005644
                    135,                 1.7988,                      1,                 1.5723,                0.88145,                0.80506,                0.84612,                0.43317,                 1.8429,                0.92438,                 1.5865,               0.005611,               0.005611,               0.005611
                    136,                 1.8032,                0.99779,                 1.5713,                0.91274,                 0.7718,                0.83655,                0.42119,                 1.9038,                 0.9185,                 1.6072,               0.005578,               0.005578,               0.005578
                    137,                 1.7891,                0.99872,                 1.5679,                0.85132,                0.81696,                0.84771,                0.43434,                 1.8606,                  0.904,                 1.5875,               0.005545,               0.005545,               0.005545
                    138,                 1.7913,                 1.0074,                 1.5559,                0.88308,                0.82793,                0.85622,                0.44331,                 1.8322,                0.88986,                 1.5735,               0.005512,               0.005512,               0.005512
                    139,                 1.7901,                0.98976,                 1.5521,                0.87644,                0.79606,                0.84192,                0.43464,                 1.8615,                0.88249,                 1.6131,               0.005479,               0.005479,               0.005479
                    140,                 1.7548,                0.98279,                 1.5517,                0.92268,                0.80331,                0.86274,                0.43424,                 1.9222,                0.92141,                 1.6315,               0.005446,               0.005446,               0.005446
                    141,                 1.7784,                 0.9748,                 1.5678,                0.87464,                0.80017,                0.83863,                 0.4229,                 1.9251,                0.89016,                  1.642,               0.005413,               0.005413,               0.005413
                    142,                 1.7642,                0.96894,                 1.5606,                0.88491,                0.80631,                0.84069,                0.42268,                 1.9462,                0.87554,                 1.6487,                0.00538,                0.00538,                0.00538
                    143,                 1.7867,                0.97788,                  1.544,                0.88074,                0.81648,                 0.8598,                0.42964,                 1.8831,                0.87987,                 1.6319,               0.005347,               0.005347,               0.005347
                    144,                 1.7772,                0.97721,                 1.5406,                0.88217,                0.80962,                0.84583,                0.42244,                 1.9425,                0.90455,                 1.6859,               0.005314,               0.005314,               0.005314
                    145,                 1.7746,                0.96557,                  1.547,                0.90706,                0.79848,                0.85441,                0.42483,                 1.9354,                0.86755,                 1.6698,               0.005281,               0.005281,               0.005281
                    146,                 1.7963,                 0.9902,                 1.5727,                0.84085,                0.84225,                0.85608,                0.43596,                 1.8966,                0.88103,                 1.6377,               0.005248,               0.005248,               0.005248
                    147,                 1.7628,                 0.9628,                 1.5353,                0.88014,                0.83846,                0.87015,                0.42178,                 1.9347,                0.87706,                 1.6634,               0.005215,               0.005215,               0.005215
                    148,                   1.76,                 0.9615,                 1.5449,                0.88491,                0.83121,                0.86786,                0.43747,                 1.8587,                0.89977,                 1.6088,               0.005182,               0.005182,               0.005182
                    149,                 1.7791,                 0.9722,                 1.5386,                0.88636,                 0.8245,                0.85504,                0.43409,                 1.9091,                0.92003,                 1.6172,               0.005149,               0.005149,               0.005149
                    150,                  1.754,                0.95528,                 1.5421,                 0.8962,                0.80741,                0.86917,                0.44233,                  1.844,                0.87336,                 1.5978,               0.005116,               0.005116,               0.005116
                    151,                 1.7401,                0.94225,                 1.5321,                0.88753,                0.82132,                0.87021,                0.43948,                 1.8899,                0.84256,                 1.6301,               0.005083,               0.005083,               0.005083
                    152,                  1.715,                0.94961,                 1.5208,                0.91652,                0.79335,                  0.863,                0.43328,                 1.8569,                0.85393,                 1.6022,                0.00505,                0.00505,                0.00505
                    153,                  1.728,                0.95257,                 1.5317,                0.91592,                0.78419,                0.85897,                0.44157,                 1.8424,                0.86653,                 1.5913,               0.005017,               0.005017,               0.005017
                    154,                 1.7079,                0.93817,                 1.5404,                0.91551,                0.79034,                0.85316,                0.42951,                 1.8744,                0.90397,                 1.6171,               0.004984,               0.004984,               0.004984
