                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.8639,                 1.2284,                 1.4975,                0.84569,                0.70087,                0.75118,                0.34404,                 2.0461,                 1.2613,                 1.7059,               0.008086,               0.008086,               0.008086
                     61,                 1.8475,                 1.2491,                  1.494,                0.78935,                0.67373,                0.72852,                0.32815,                 2.0271,                 1.2346,                 1.6936,               0.008053,               0.008053,               0.008053
                     62,                 1.8492,                 1.1956,                 1.4723,                0.78895,                0.68303,                0.71713,                0.33422,                 2.0324,                 1.2452,                 1.7002,                0.00802,                0.00802,                0.00802
                     63,                 1.8329,                 1.2163,                 1.4725,                0.83574,                0.68991,                0.76179,                0.33542,                 2.0554,                 1.1997,                 1.7253,               0.007987,               0.007987,               0.007987
                     64,                 1.8292,                 1.2088,                 1.4658,                0.78984,                0.65599,                0.73614,                0.32347,                 2.0691,                 1.3158,                 1.7287,               0.007954,               0.007954,               0.007954
                     65,                 1.8156,                 1.1891,                 1.4566,                0.83531,                0.68805,                0.75234,                0.34765,                 1.9694,                 1.2327,                 1.6385,               0.007921,               0.007921,               0.007921
                     66,                 1.8195,                  1.201,                 1.4711,                0.80404,                0.67674,                0.71851,                0.34144,                 1.9618,                 1.2278,                 1.6284,               0.007888,               0.007888,               0.007888
                     67,                 1.8256,                 1.2049,                 1.4733,                0.80243,                0.72009,                0.76564,                0.35548,                 1.9242,                 1.2313,                 1.6111,               0.007855,               0.007855,               0.007855
                     68,                 1.8187,                 1.2013,                 1.4846,                0.86398,                0.72413,                0.78195,                 0.3722,                 1.9412,                 1.1662,                  1.624,               0.007822,               0.007822,               0.007822
                     69,                 1.7889,                 1.1616,                  1.452,                0.82396,                0.68865,                0.75312,                0.35218,                 1.9084,                 1.1285,                 1.6335,               0.007789,               0.007789,               0.007789
                     70,                 1.7977,                 1.1554,                 1.4556,                0.80373,                0.72131,                0.73755,                0.33216,                 2.0341,                 1.2234,                 1.6593,               0.007756,               0.007756,               0.007756
                     71,                 1.8183,                 1.1643,                 1.4643,                0.84474,                0.72699,                0.78892,                0.37029,                 1.9247,                 1.1394,                 1.6139,               0.007723,               0.007723,               0.007723
                     72,                 1.7863,                 1.1529,                  1.454,                 0.8045,                0.70128,                0.76556,                0.36579,                 1.9307,                 1.1578,                 1.6061,                0.00769,                0.00769,                0.00769
                     73,                 1.8014,                 1.1513,                 1.4563,                0.81085,                0.62511,                0.70231,                0.34634,                 1.9497,                 1.2964,                 1.6127,               0.007657,               0.007657,               0.007657
                     74,                 1.7634,                 1.1124,                 1.4265,                0.83556,                  0.743,                0.78591,                0.36563,                 1.9989,                 1.1221,                 1.6485,               0.007624,               0.007624,               0.007624
                     75,                 1.7679,                 1.1321,                  1.432,                0.85353,                0.69851,                0.74788,                0.34113,                 1.9632,                 1.2005,                 1.6285,               0.007591,               0.007591,               0.007591
                     76,                  1.764,                 1.1311,                 1.4355,                0.85937,                0.75681,                 0.7919,                0.36404,                 1.9766,                 1.1811,                 1.6349,               0.007558,               0.007558,               0.007558
                     77,                 1.7707,                 1.1192,                 1.4297,                0.82844,                 0.7208,                0.78153,                0.35242,                 2.0768,                 1.1339,                 1.7086,               0.007525,               0.007525,               0.007525
                     78,                 1.7391,                 1.1117,                   1.44,                0.84042,                0.71711,                0.77862,                0.36133,                 1.9315,                 1.1307,                 1.6364,               0.007492,               0.007492,               0.007492
                     79,                 1.7465,                 1.1069,                 1.4193,                0.84163,                0.74115,                0.78927,                0.36878,                 1.9217,                 1.1375,                 1.5994,               0.007459,               0.007459,               0.007459
                     80,                 1.7377,                 1.0932,                 1.4137,                0.90287,                0.70491,                0.78635,                0.37004,                  1.973,                 1.1739,                 1.6423,               0.007426,               0.007426,               0.007426
                     81,                 1.7729,                  1.107,                 1.4424,                0.83798,                 0.7071,                0.77322,                0.36787,                 1.9405,                 1.1414,                 1.6223,               0.007393,               0.007393,               0.007393
                     82,                 1.7581,                 1.0898,                 1.4406,                0.83467,                0.71961,                0.77741,                0.36526,                 1.9549,                 1.1368,                 1.6361,                0.00736,                0.00736,                0.00736
                     83,                 1.7367,                 1.0898,                 1.4153,                0.84746,                0.69702,                0.77144,                0.35908,                 1.9668,                 1.1743,                 1.6569,               0.007327,               0.007327,               0.007327
                     84,                  1.704,                 1.0799,                 1.4061,                0.85698,                0.72611,                0.77791,                0.36287,                 2.0214,                 1.1055,                 1.6583,               0.007294,               0.007294,               0.007294
                     85,                 1.7318,                 1.0876,                 1.4205,                0.81979,                0.73127,                0.77935,                0.38041,                 1.9295,                 1.1429,                 1.6061,               0.007261,               0.007261,               0.007261
                     86,                 1.7501,                 1.0814,                 1.4201,                0.83683,                0.72074,                0.77433,                0.38381,                 1.9133,                 1.1168,                 1.5781,               0.007228,               0.007228,               0.007228
                     87,                 1.7013,                 1.0387,                 1.4108,                0.86208,                  0.732,                0.78527,                0.38321,                 1.9508,                 1.1071,                 1.6244,               0.007195,               0.007195,               0.007195
                     88,                 1.7292,                 1.0839,                 1.4224,                0.87109,                0.74972,                0.80174,                0.38115,                  1.913,                 1.0656,                 1.5788,               0.007162,               0.007162,               0.007162
                     89,                 1.7103,                 1.0509,                 1.4024,                0.84808,                0.69877,                0.76127,                0.36466,                 1.9813,                 1.1501,                 1.6208,               0.007129,               0.007129,               0.007129
                     90,                 1.7061,                 1.0506,                  1.391,                0.82682,                0.71741,                0.77231,                0.37379,                 1.8708,                 1.1224,                 1.5643,               0.007096,               0.007096,               0.007096
                     91,                 1.6874,                  1.049,                 1.3871,                0.86625,                0.72995,                0.78747,                 0.3735,                 1.9205,                 1.0636,                 1.6076,               0.007063,               0.007063,               0.007063
                     92,                 1.7054,                  1.043,                 1.3951,                0.83316,                0.75074,                0.80419,                0.37745,                 1.9105,                 1.0466,                 1.5952,                0.00703,                0.00703,                0.00703
